Year,Mo,Dy,Tsu,Eq,Name,Location,Country,latitude,longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,date
2010,5,29,4822,9172,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,,5/29/2010
2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1,8/6/2010
2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,2,1,,,,,,,,,2,1,,,,,,,,,8/30/2010
2010,10,26,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3,10/26/2010
2010,11,1,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,,11/1/2010
2010,12,28,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,,12/28/2010
2011,1,3,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,,1/3/2011
2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700,Shield volcano,,,,,,,,1,,1,,,,,,,,1,,1,,,1/28/2011
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,,2/23/2011
2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,,3/18/2011
2011,4,1,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,,4/1/2011
2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,4,,,,,,,,,2,,,,,,,,,,2,,,6/4/2011
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,31,1,,,,3,,1,,,6/22/2011
2011,7,9,,,Katla,Iceland-S,Iceland,63.633,-19.083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,1,,,7/9/2011
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,,7/17/2011
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,,12/27/2011
2012,2,10,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,,2/10/2012
2012,3,2,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,L,,,,,,,,1,1,1,,,,,,,,,,,3/2/2012
2012,12,12,,,Tolbachik,Kamchatka,Russia,55.832,160.326,3611,Shield volcano,,,,,,,,,,1,,,,,,,,,,1,,,12/12/2012
2013,2,12,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,,2/12/2013
2013,2,1,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1,2/1/2013
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,5,1,,,8,1,,,,,5,1,,,8,1,,,,,5/7/2013
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,5,1,,,,,,,,,5,1,,,,,,,,,8/10/2013
2013,9,1,,,Ubinas,Peru,Peru,-16.345,-70.897,5608,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,,9/1/2013
2013,9,4,,,Aira,Kyushu-Japan,Japan,31.577,130.659,1117,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,,9/4/2013
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,,,,,,,,,2,,,,,,,,,,2,,,9/15/2013
2013,12,13,,,Okataina,New Zealand,New Zealand,-38.157,176.507,1111,Lava dome,,G,1,1,,,,,,,,,1,1,,,,,,,,,12/13/2013
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,17,1,,,3,1,,1,,2,2/1/2014
